project,state,web_links
www.eclipse.org/tracecompass.incubator,ACTIVE,plugins/gitiles/www.eclipse.org/tracecompass.incubator
chemclipse/org.eclipse.chemclipse.compmsdistance,ACTIVE,plugins/gitiles/chemclipse/org.eclipse.chemclipse.compmsdistance
permissions/keyple-dev,ACTIVE,plugins/gitiles/permissions/keyple-dev
permissions/openk-usermodules-dev,ACTIVE,plugins/gitiles/permissions/openk-usermodules-dev
titan/titan.TestPorts.Serial,ACTIVE,plugins/gitiles/titan/titan.TestPorts.Serial
camf/org.eclipse.camf,ACTIVE,plugins/gitiles/camf/org.eclipse.camf
chemclipse/org.eclipse.chemclipse.filterdenoising,ACTIVE,plugins/gitiles/chemclipse/org.eclipse.chemclipse.filterdenoising
mdmbl/org.eclipse.mdm.api.base,ACTIVE,plugins/gitiles/mdmbl/org.eclipse.mdm.api.base
chemclipse/org.eclipse.chemclipse.zipconverter,ACTIVE,plugins/gitiles/chemclipse/org.eclipse.chemclipse.zipconverter
www.eclipse.org/dirigible,ACTIVE,plugins/gitiles/www.eclipse.org/dirigible
titan/titan.Applications.RIoT,ACTIVE,plugins/gitiles/titan/titan.Applications.RIoT
permissions/jeetools,ACTIVE,plugins/gitiles/permissions/jeetools
virgo/org.eclipse.virgo.test,ACTIVE,plugins/gitiles/virgo/org.eclipse.virgo.test
permissions/dbaccess-dev,ACTIVE,plugins/gitiles/permissions/dbaccess-dev
mdht/org.eclipse.mdht,ACTIVE,plugins/gitiles/mdht/org.eclipse.mdht
rasterframes/rasterframes,ACTIVE,plugins/gitiles/rasterframes/rasterframes
emf-store/org.eclipse.emf.emfstore.releng,ACTIVE,plugins/gitiles/emf-store/org.eclipse.emf.emfstore.releng
recommenders.incubator/org.eclipse.recommenders.logging,ACTIVE,plugins/gitiles/recommenders.incubator/org.eclipse.recommenders.logging
www.eclipse.org/jetty,ACTIVE,plugins/gitiles/www.eclipse.org/jetty
chemclipse/org.eclipse.chemclipse.chemclipsequant,ACTIVE,plugins/gitiles/chemclipse/org.eclipse.chemclipse.chemclipsequant
permissions/soteria-dev,ACTIVE,plugins/gitiles/permissions/soteria-dev
chemclipse/org.eclipse.chemclipse.baselinesnip,ACTIVE,plugins/gitiles/chemclipse/org.eclipse.chemclipse.baselinesnip
diffmerge/org.eclipse.emf.diffmerge.patch,ACTIVE,plugins/gitiles/diffmerge/org.eclipse.emf.diffmerge.patch
ee4j/ejb,ACTIVE,plugins/gitiles/ee4j/ejb
viatra/org.eclipse.viatra.modelobfuscator,ACTIVE,plugins/gitiles/viatra/org.eclipse.viatra.modelobfuscator
permissions/servlet-dev,ACTIVE,plugins/gitiles/permissions/servlet-dev
vorto/org.eclipse.vorto,ACTIVE,plugins/gitiles/vorto/org.eclipse.vorto
permissions/swt-dev,ACTIVE,plugins/gitiles/permissions/swt-dev
www.eclipse.org/ebr,ACTIVE,plugins/gitiles/www.eclipse.org/ebr
emf-parsley/org.eclipse.emf-parsley,ACTIVE,plugins/gitiles/emf-parsley/org.eclipse.emf-parsley
osbp/org.eclipse.osbp.display.api,ACTIVE,plugins/gitiles/osbp/org.eclipse.osbp.display.api
osbp/org.eclipse.osbp.vaadin.addons,ACTIVE,plugins/gitiles/osbp/org.eclipse.osbp.vaadin.addons
openk-usermodules/openk-usermodules,ACTIVE,plugins/gitiles/openk-usermodules/openk-usermodules
eatop/org.eclipse.eatop,ACTIVE,plugins/gitiles/eatop/org.eclipse.eatop
www.eclipse.org/security,ACTIVE,plugins/gitiles/www.eclipse.org/security
tracecompass/tracecompass-test-traces,ACTIVE,plugins/gitiles/tracecompass/tracecompass-test-traces
titan/titan.TestPorts.SocketCANasp,ACTIVE,plugins/gitiles/titan/titan.TestPorts.SocketCANasp
cbi/org.eclipse.cbi.p2repo.analyzers,ACTIVE,plugins/gitiles/cbi/org.eclipse.cbi.p2repo.analyzers
titan/titan.ProtocolModules.V5,ACTIVE,plugins/gitiles/titan/titan.ProtocolModules.V5
permissions/tracecompass.incubator-dev,ACTIVE,plugins/gitiles/permissions/tracecompass.incubator-dev
www.eclipse.org/agail,ACTIVE,plugins/gitiles/www.eclipse.org/agail
e4/eclipse.platform.ui.e4,ACTIVE,plugins/gitiles/e4/eclipse.platform.ui.e4
titan/titan.ProtocolModules.STOMP,ACTIVE,plugins/gitiles/titan/titan.ProtocolModules.STOMP
rmf/org.eclipse.rmf.documentation,ACTIVE,plugins/gitiles/rmf/org.eclipse.rmf.documentation
platform/eclipse.platform.releng.eclipsebuilder,ACTIVE,plugins/gitiles/platform/eclipse.platform.releng.eclipsebuilder
virgo/org.eclipse.virgo.system-verification-tests,ACTIVE,plugins/gitiles/virgo/org.eclipse.virgo.system-verification-tests
osbp/org.eclipse.osbp.filter,ACTIVE,plugins/gitiles/osbp/org.eclipse.osbp.filter
chemclipse/org.eclipse.chemclipse.filternormalizer,ACTIVE,plugins/gitiles/chemclipse/org.eclipse.chemclipse.filternormalizer
paho.incubator/smidge,ACTIVE,plugins/gitiles/paho.incubator/smidge
www.eclipse.org/gemini/web,ACTIVE,plugins/gitiles/www.eclipse.org/gemini/web
ee4j/mojarra,ACTIVE,plugins/gitiles/ee4j/mojarra
emfcompare/acceptance-submodules/testGitExtLibrary,ACTIVE,plugins/gitiles/emfcompare/acceptance-submodules/testGitExtLibrary
stem/org.eclipse.stem.data,ACTIVE,plugins/gitiles/stem/org.eclipse.stem.data
om2m/om2m-legacy,ACTIVE,plugins/gitiles/om2m/om2m-legacy
mmt/org.eclipse.atl,ACTIVE,plugins/gitiles/mmt/org.eclipse.atl
www.eclipse.org/january,ACTIVE,plugins/gitiles/www.eclipse.org/january
www.eclipse.org/papyrus-rt,ACTIVE,plugins/gitiles/www.eclipse.org/papyrus-rt
epp/org.eclipse.epp.packages,ACTIVE,plugins/gitiles/epp/org.eclipse.epp.packages
permissions/m2e-dev,ACTIVE,plugins/gitiles/permissions/m2e-dev
www.eclipse.org/emfatic,ACTIVE,plugins/gitiles/www.eclipse.org/emfatic
osbp/org.eclipse.osbp.xtext.datamart.common,ACTIVE,plugins/gitiles/osbp/org.eclipse.osbp.xtext.datamart.common
rtsc/org.eclipse.rtsc.training,ACTIVE,plugins/gitiles/rtsc/org.eclipse.rtsc.training
rap/org.eclipse.rap.tools,ACTIVE,plugins/gitiles/rap/org.eclipse.rap.tools
permissions/qvt-oml-dev,ACTIVE,plugins/gitiles/permissions/qvt-oml-dev
ee4j/jta,ACTIVE,plugins/gitiles/ee4j/jta
emf-query/org.eclipse.emf.query,ACTIVE,plugins/gitiles/emf-query/org.eclipse.emf.query
permissions/virgo-dev,ACTIVE,plugins/gitiles/permissions/virgo-dev
permissions/jstl-dev,ACTIVE,plugins/gitiles/permissions/jstl-dev
damos/org.eclipse.damos,ACTIVE,plugins/gitiles/damos/org.eclipse.damos
permissions/ejb-dev,ACTIVE,plugins/gitiles/permissions/ejb-dev
www.eclipse.org/gmf-notation,ACTIVE,plugins/gitiles/www.eclipse.org/gmf-notation
www.eclipse.org/glassfish-tools,ACTIVE,plugins/gitiles/www.eclipse.org/glassfish-tools
titan/titan.ApplicationLibraries.MQTT,ACTIVE,plugins/gitiles/titan/titan.ApplicationLibraries.MQTT
www.eclipse.org/rcptt,ACTIVE,plugins/gitiles/www.eclipse.org/rcptt
chemclipse/org.eclipse.chemclipse.mzxmlmschrom,ACTIVE,plugins/gitiles/chemclipse/org.eclipse.chemclipse.mzxmlmschrom
permissions/keti-dev,ACTIVE,plugins/gitiles/permissions/keti-dev
m2e/m2e-discovery-catalog,ACTIVE,plugins/gitiles/m2e/m2e-discovery-catalog
metro/metro,ACTIVE,plugins/gitiles/metro/metro
sourceediting/webtools.sourceediting.xsl,ACTIVE,plugins/gitiles/sourceediting/webtools.sourceediting.xsl
webtools/org.eclipse.webtools.incubator,ACTIVE,plugins/gitiles/webtools/org.eclipse.webtools.incubator
eclipselink/examples/mysports,ACTIVE,plugins/gitiles/eclipselink/examples/mysports
permissions/reddeer-dev,ACTIVE,plugins/gitiles/permissions/reddeer-dev
websocket/websocket,ACTIVE,plugins/gitiles/websocket/websocket
permissions/epp-dev,ACTIVE,plugins/gitiles/permissions/epp-dev
permissions/whiskers-dev,ACTIVE,plugins/gitiles/permissions/whiskers-dev
www.eclipse.org/lsp4j,ACTIVE,plugins/gitiles/www.eclipse.org/lsp4j
viatra/org.eclipse.viatra2.vpm,ACTIVE,plugins/gitiles/viatra/org.eclipse.viatra2.vpm
permissions/papyrus-rt-dev,ACTIVE,plugins/gitiles/permissions/papyrus-rt-dev
usssdk/org.eclipse.usssdk,ACTIVE,plugins/gitiles/usssdk/org.eclipse.usssdk
osbp/org.eclipse.osbp.core.api,ACTIVE,plugins/gitiles/osbp/org.eclipse.osbp.core.api
permissions/openj9-dev,ACTIVE,plugins/gitiles/permissions/openj9-dev
chemclipse/org.eclipse.chemclipse.baselinedetectic,ACTIVE,plugins/gitiles/chemclipse/org.eclipse.chemclipse.baselinedetectic
www.eclipse.org/ganymede,ACTIVE,plugins/gitiles/www.eclipse.org/ganymede
paho/org.eclipse.paho.mqtt-sn.apps,ACTIVE,plugins/gitiles/paho/org.eclipse.paho.mqtt-sn.apps
jetty/org.eclipse.jetty.project,ACTIVE,plugins/gitiles/jetty/org.eclipse.jetty.project
www.eclipse.org/Xtext,ACTIVE,plugins/gitiles/www.eclipse.org/Xtext
chemclipse/org.eclipse.chemclipse.chemclipse3rdpl,ACTIVE,plugins/gitiles/chemclipse/org.eclipse.chemclipse.chemclipse3rdpl
www.eclipse.org/ee4j/jstl,ACTIVE,plugins/gitiles/www.eclipse.org/ee4j/jstl
